,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
86,Bank of Baroda,,102599.8,198.4,L  0.7%  H  195.1  200.1,L  -5.1%  H  195.1  210.8,L  5.8%  H  182.7  210.8,L  15.8%  H  170.7  210.8,L  88.6%  H  103.3  210.8,L  304.9%  H  39.5  210.8,L  69.0%  H  36  210.8,L  73.8%  H  36  228.9
87,Bank of India,,31946.3,77.9,L  0.8%  H  76.8  78.3,L  -2.4%  H  76.8  80.5,L  4.9%  H  69.5  82.0,L  1.0%  H  69.5  89.2,L  70.2%  H  45.1  103.5,L  66.5%  H  38.2  103.5,L  -4.7%  H  30.4  110.2,L  -65.8%  H  30.4  357
88,PB Fintech Ltd.,,33391.9,741.9,L  -2.8%  H  733.5  761.6,L  5.6%  H  693.4  779.9,L  16.4%  H  626  779.9,L  27.1%  H  566.3  779.9,L  36.1%  H  356.2  779.9,L  ;  H  356.2  1470,L  ;  H  356.2  1470,L  ;  H  356.2  1470
89,GMM Pfaudler Ltd.,,6677.9,1485.4,L  0.3%  H  1480.2  1495.4,L  0.2%  H  1471.2  1499.9,L  1.8%  H  1453.1  1569.9,L  -0.4%  H  1428.1  1569.9,L  4.2%  H  1335.3  2110,L  8.5%  H  1111.7  2300,L  ;  H  336.7  2300,L  ;  H  336.7  2300
90,BASF India Ltd.,,11103.0,2565.1,L  -0.8%  H  2551  2587,L  -0.9%  H  2550  2675,L  -0.4%  H  2518.2  2680.0,L  7.1%  H  2282.3  2680.0,L  -6.5%  H  2193  3526.1,L  90.4%  H  1263  3930,L  36.6%  H  809.2  3930,L  370.7%  H  490.5  3930
91,Bata India Ltd.,,21606.8,1681.1,L  1.3%  H  1648.3  1683.9,L  0.8%  H  1623.1  1700.8,L  4.9%  H  1593.9  1722.6,L  20.0%  H  1390  1722.6,L  -5.8%  H  1381.1  2004.9,L  31.1%  H  1213.8  2262,L  105.1%  H  813.1  2262,L  274.6%  H  385.5  2262
92,Bayer Cropscience Ltd.,,20644.4,4593.6,L  -0.9%  H  4582  4675,L  -1.0%  H  4582  4727.9,L  8.9%  H  4141  4727.9,L  11.6%  H  4060  4727.9,L  -13.0%  H  3920.5  5667.8,L  -17.7%  H  3920.5  6601.3,L  1.9%  H  2925  6601.3,L  197.5%  H  1378  6601.3
93,State Bank of India,,521554.3,584.4,L  -0.2%  H  580.7  591.3,L  -1.6%  H  580.7  599.8,L  1.4%  H  553.8  599.8,L  9.7%  H  528  599.8,L  21.9%  H  474.7  629.6,L  214.1%  H  175.5  629.6,L  126.7%  H  149.5  629.6,L  208.7%  H  145.3  629.6
94,Bombay Burmah Trading Corp...,,7744.0,1109.9,L  0.5%  H  1103  1128,L  -0.3%  H  1100  1187,L  5.3%  H  1000.1  1187,L  26.4%  H  870.7  1187,L  19.3%  H  781.1  1187,L  -5.1%  H  781.1  1565,L  -27.0%  H  535  2115,L  943.1%  H  82.3  2115
95,Bharat Electronics Ltd.,,92943.8,127.2,L  1.3%  H  124.1  127.5,L  2.5%  H  122.5  128.8,L  4.7%  H  117.9  128.8,L  26.0%  H  100  128.8,L  60.7%  H  79.1  128.8,L  292.8%  H  28.8  128.8,L  267.5%  H  18.7  128.8,L  927.9%  H  8.2  128.8
96,BEML Ltd.,,6626.3,1591.2,L  1.5%  H  1560  1602.9,L  3.2%  H  1545  1639.6,L  5.1%  H  1500  1749.6,L  30.1%  H  1184.1  1749.6,L  23.4%  H  1128  1934.0,L  153.1%  H  584.4  2085,L  98.3%  H  369.5  2085,L  873.8%  H  106  2085
97,Berger Paints (India) Ltd.,,64900.7,668.1,L  1%  H  654.8  672.0,L  -0.7%  H  654.8  679,L  -0.3%  H  654.8  690,L  15.5%  H  573.8  690,L  15.2%  H  527.2  710.3,L  33.5%  H  496  873.0,L  122.8%  H  260  873.0,L  694.9%  H  51.4  873.0
98,Westlife Foodworld Ltd.,,13815.9,886.0,L  -1.4%  H  875  914.7,L  2.3%  H  852.5  914.7,L  4.1%  H  824.8  914.7,L  26.2%  H  675  914.7,L  68.1%  H  511.3  914.7,L  191.3%  H  306.1  914.7,L  ;  H  261.5  914.7,L  ;  H  261.5  914.7
99,Bharat Forge Ltd.,,40375.8,867.2,L  1.1%  H  855.4  869,L  2.9%  H  839.5  869,L  4.7%  H  799.8  869,L  13.4%  H  748.4  869,L  31.5%  H  640.9  919.5,L  136.4%  H  363.0  919.5,L  43.1%  H  207.5  919.5,L  666.6%  H  92.7  919.5
100,Bharti Airtel Ltd.,,504477.5,886.5,L  0.2%  H  879.7  890.3,L  1.8%  H  865  895.7,L  7.1%  H  820.8  895.7,L  15.6%  H  752.6  895.7,L  38.2%  H  643.3  895.7,L  50.4%  H  394  895.7,L  147.0%  H  276.9  895.7,L  190.2%  H  276.9  895.7
101,Bharat Heavy Electricals Ltd.,,32069.8,92.1,L  0.3%  H  91.1  92.9,L  0.6%  H  90.1  96.5,L  9.8%  H  83.3  96.5,L  28.3%  H  71  96.5,L  87.0%  H  48.8  96.5,L  136.8%  H  26.8  96.5,L  37.2%  H  18.4  96.5,L  -26.6%  H  18.4  200
102,Sharda Cropchem Ltd.,,4907.5,544.0,L  0.8%  H  539.1  549.0,L  0.7%  H  533  554,L  0.8%  H  525  578,L  17.7%  H  439.8  580,L  -18.1%  H  368.6  707,L  109.0%  H  230.9  769.2,L  58.1%  H  99.4  769.2,L  ;  H  99.4  769.2
103,Biocon Ltd.,,31479.7,262.2,L  2.0%  H  256.2  263.4,L  3.3%  H  251.6  263.4,L  9.6%  H  234.8  270.5,L  17%  H  222.3  270.5,L  -21%  H  191.6  341.7,L  -40.1%  H  191.6  487.8,L  -12.5%  H  191.6  487.8,L  445.1%  H  47.7  487.8
104,Birla Corporation Ltd.,,9353.1,1214.6,L  -0.6%  H  1206.8  1232,L  -0.3%  H  1191.7  1238.6,L  0.6%  H  1181  1268,L  30.3%  H  893.4  1268,L  33.7%  H  843.2  1268,L  109.5%  H  540.6  1650,L  72.2%  H  372.2  1650,L  396.5%  H  190.1  1650
105,360 One Wam Ltd.,,18220.0,510.6,L  1.7%  H  495.1  514.9,L  5.9%  H  481.9  514.9,L  16.4%  H  419.9  514.9,L  19.3%  H  395.8  514.9,L  30.7%  H  385  514.9,L  115.7%  H  214.2  514.9,L  ;  H  180  514.9,L  ;  H  180  514.9
106,Shoppers Stop Ltd.,,8877.1,809.5,L  -1.3%  H  805.1  826.7,L  -0.7%  H  802.6  829.7,L  4.5%  H  776.3  832.0,L  35.7%  H  573.8  832.0,L  50.1%  H  534.1  832.0,L  414.1%  H  148  832.0,L  49.6%  H  131  832.0,L  116.2%  H  131  832.0
107,Shree Cements Ltd.,,87819.2,24339.7,L  0.8%  H  24001.4  24405,L  1.9%  H  23560.9  24511.9,L  -7.2%  H  22605.6  26580,L  -5.7%  H  22605.6  26580,L  24.4%  H  19450.1  27049,L  10.2%  H  17865.2  32048,L  42.1%  H  13100  32048,L  436.6%  H  3400.1  32048
108,Blue Dart Express Ltd.,,17581.0,7409.4,L  1.1%  H  7293  7480,L  1.4%  H  7202  7480,L  12.3%  H  6512  7480,L  21.4%  H  5631.8  7480,L  -8.9%  H  5631.8  9640,L  273.5%  H  1873.1  9640,L  105.8%  H  1822.4  9640,L  192.2%  H  1822.4  9640
109,Blue Star Ltd.,,15289.8,793.8,L  -0.2%  H  787.6  809.4,L  0.4%  H  777.4  809.4,L  3.2%  H  748.5  820,L  7.7%  H  692.5  820,L  62.8%  H  477.5  820,L  238.7%  H  235.1  820,L  134.2%  H  204.5  820,L  917.0%  H  65.2  820
110,Siemens Ltd.,,131401.3,3689.8,L  -1.0%  H  3681.1  3755,L  0.0%  H  3638.2  3876.2,L  -2.0%  H  3638.2  3876.2,L  10.9%  H  3240  3938.4,L  39.5%  H  2573.1  3938.4,L  226.3%  H  1118.1  3938.4,L  279.6%  H  850.3  3938.4,L  567.1%  H  414  3938.4
111,Bosch Ltd.,,55747.5,18901.6,L  -1.2%  H  18740  19086.2,L  -4.3%  H  18740  19890,L  -0.9%  H  18485  19990,L  0.0%  H  18245.7  19990,L  18.1%  H  15300  19990,L  42.7%  H  11265.1  19990,L  7.2%  H  7850  22400,L  119.7%  H  7850  27990
112,Bharat Petroleum Corporati...,,82334.0,379.6,L  ;  H  375.6  381.8,L  -3.1%  H  375.6  393.2,L  1.6%  H  355.7  397.9,L  14.2%  H  330.3  397.9,L  24.0%  H  288.1  397.9,L  1.6%  H  288.1  503,L  -1.8%  H  238.6  549,L  231.1%  H  76.0  551.6
113,Devyani International Ltd.,,23356.5,193.8,L  -0.2%  H  192.5  196.8,L  1.2%  H  187.7  198,L  2.9%  H  184.4  198,L  24.0%  H  155.8  199.3,L  19.2%  H  134.0  215,L  ;  H  107.6  215,L  ;  H  107.6  215,L  ;  H  107.6  215
114,ICICI Securities Ltd.,,19792.9,612.7,L  0.6%  H  608.2  615.6,L  1.8%  H  601.0  615.6,L  18.2%  H  506.2  647,L  34.9%  H  428.1  647,L  37.9%  H  416.3  647,L  19.8%  H  376.9  896.1,L  91.6%  H  188  896.1,L  ;  H  188  896.1
115,Vijaya Diagnostic Centre Ltd.,,4704.5,460.7,L  0.4%  H  456.7  466.5,L  -2.0%  H  454.7  495,L  13.7%  H  400  518.4,L  18.8%  H  349.3  518.4,L  43.4%  H  314.3  528,L  ;  H  295  672,L  ;  H  295  672,L  ;  H  295  672
116,Brigade Enterprises Ltd.,,13234.8,573.5,L  -1%  H  571.1  586.0,L  3.2%  H  553.6  599.6,L  -0.8%  H  550.1  607.7,L  19.1%  H  481  607.7,L  27.1%  H  430.7  607.7,L  315.5%  H  130.7  607.7,L  334.1%  H  90.5  607.7,L  1359.2%  H  30  607.7
117,Britannia Industries Ltd.,,123642.5,5133.2,L  0.8%  H  5085.1  5150,L  1.6%  H  4991.5  5157.2,L  3.9%  H  4914.3  5270.4,L  20.4%  H  4246.3  5270.4,L  36.0%  H  3564.1  5270.4,L  37.4%  H  3050  5270.4,L  58.6%  H  2100  5270.4,L  1414.6%  H  328.9  5270.4
118,Restaurant Brands Asia Ltd.,,5499.9,111.2,L  1.6%  H  109.9  113.5,L  0.7%  H  107.9  113.5,L  2.6%  H  107.3  116.9,L  18.7%  H  92.4  128.6,L  -1.9%  H  84.5  137.8,L  ;  H  84.5  213.8,L  ;  H  84.5  213.8,L  ;  H  84.5  213.8
119,SJVN Ltd.,,18018.1,45.9,L  0.4%  H  45.5  46.3,L  -4.3%  H  45.2  49.3,L  19.3%  H  38  49.3,L  38.1%  H  32.6  49.3,L  60.9%  H  27.8  49.3,L  105.1%  H  20.7  49.3,L  70.4%  H  17.3  49.3,L  134.5%  H  17.3  49.3
120,SKF India Ltd.,,26151.5,5289.8,L  2.8%  H  5145.0  5350,L  3.1%  H  4910  5350,L  11.1%  H  4715.6  5350,L  24.3%  H  4070.7  5350,L  41.3%  H  3701.1  5350,L  215.3%  H  1426.6  5350,L  199.5%  H  1230  5350,L  971.1%  H  432.5  5350
121,Zydus Lifesciences Ltd.,,60261.6,595.4,L  0.7%  H  589.1  597.9,L  2.3%  H  580.1  597.9,L  11.8%  H  533.1  597.9,L  18.2%  H  485.0  597.9,L  61.0%  H  340  597.9,L  68.3%  H  319  673.7,L  62.6%  H  202  673.7,L  281.9%  H  125.8  673.7
122,Canara Bank,,59249.5,326.6,L  1.5%  H  322  328.7,L  -2.1%  H  319.8  339.5,L  7.3%  H  291.7  339.5,L  12.1%  H  288.3  339.5,L  55.9%  H  203.6  341.7,L  223.7%  H  82.3  341.7,L  40.9%  H  73.7  341.7,L  -7.9%  H  73.7  498
123,Can Fin Homes Ltd.,,10684.3,802.4,L  1.3%  H  791.1  812.0,L  3.7%  H  771.3  812.0,L  7.2%  H  720.6  812.0,L  41.6%  H  550.8  812.0,L  70.2%  H  452  812.0,L  129.7%  H  350.7  812.0,L  143.2%  H  216.5  812.0,L  2825.3%  H  20.4  812.0
124,Carborundum Universal Ltd.,,22570.7,1188.2,L  0.0%  H  1171  1194,L  -0.8%  H  1171  1214.5,L  -1.2%  H  1160.6  1260,L  20.4%  H  975.4  1260,L  55.2%  H  746  1260,L  387.7%  H  231.6  1260,L  252.1%  H  179.0  1260,L  1022.0%  H  98.1  1260
125,Sobha Ltd.,,5268.7,555.5,L  -1.8%  H  551  571,L  -3.6%  H  551  584,L  -1.9%  H  521.5  586.5,L  25.2%  H  434  589.8,L  -14.4%  H  412.1  750.9,L  135.9%  H  200.3  1045.0,L  22.0%  H  120.7  1045.0,L  57.8%  H  120.7  1045.0
126,Solar Industries India Ltd.,,33338.8,3684.3,L  0.5%  H  3660.9  3715.0,L  0.5%  H  3453.4  3715.0,L  -4.8%  H  3453.4  3894,L  -3.0%  H  3453.4  3952.0,L  39.5%  H  2619.7  4538,L  268.8%  H  940  4538,L  222.3%  H  773.1  4538,L  1878.8%  H  147.0  4538
127,Castrol India Ltd.,,13051.5,132.0,L  0.4%  H  131.2  133.3,L  3.1%  H  125.1  137.7,L  10.7%  H  118.8  137.7,L  16.3%  H  111.8  137.7,L  17.3%  H  107.4  137.7,L  7.6%  H  99.1  154.9,L  -17.1%  H  89.6  177.8,L  -21.2%  H  89.6  272
128,CCL Products India Ltd.,,9709.7,729.9,L  -1.3%  H  724.9  749.5,L  3.5%  H  705.7  749.5,L  13.8%  H  630.9  749.5,L  30.2%  H  548  749.5,L  78.3%  H  401  749.5,L  201.4%  H  225  749.5,L  159.3%  H  137  749.5,L  2452.1%  H  24.1  749.5
129,Ceat Ltd.,,9807.9,2424.7,L  -2.1%  H  2395.5  2538.8,L  0.5%  H  2370  2642,L  18.4%  H  1992.4  2642,L  69.3%  H  1381.8  2642,L  97.8%  H  1161  2642,L  176.1%  H  835  2642,L  91.0%  H  600  2642,L  2068.8%  H  97.4  2642
130,Aditya Birla Capital Ltd.,,49089.6,189.1,L  0.9%  H  187.1  191.9,L  -0.1%  H  183.3  192,L  7.7%  H  168  199.3,L  19.9%  H  156.8  199.3,L  107.0%  H  90.7  199.3,L  226.3%  H  53  199.3,L  45.2%  H  37.4  199.3,L  ;  H  37.4  255
131,Sonata Software Ltd.,,14773.5,1053.7,L  6.4%  H  982  1075,L  5.2%  H  950.3  1075,L  4.2%  H  950.3  1075,L  24.2%  H  789.0  1078,L  111.1%  H  487.3  1078,L  513.7%  H  171.8  1078,L  313.7%  H  110.4  1078,L  4881.8%  H  16.9  1078
132,Sun Pharma Advanced Resear...,,7371.5,227.2,L  2.8%  H  224.2  234,L  7.4%  H  208.9  237,L  18.3%  H  191.3  237,L  21.4%  H  178.8  237,L  5.9%  H  162.1  265.9,L  38.4%  H  141  349,L  -39.0%  H  81  414,L  69.8%  H  81  598
133,Jubilant Ingrevia Ltd.,,6515.4,409.1,L  -0.1%  H  407.5  415.8,L  0.0%  H  401.3  419.2,L  -7.5%  H  401.3  476.8,L  2.6%  H  379.1  476.8,L  -13.7%  H  350.5  592.6,L  ;  H  241.3  838.8,L  ;  H  241.3  838.8,L  ;  H  241.3  838.8
134,Central Bank of India,,26390.1,30.4,L  1.2%  H  29.8  30.5,L  -1.6%  H  29.8  31.9,L  12.4%  H  26.6  31.9,L  18.8%  H  25.5  31.9,L  68.4%  H  17.7  41.8,L  82.6%  H  10.1  41.8,L  -55.0%  H  10.1  76.6,L  -52.1%  H  10.1  123.3
135,Century Plyboards (India) ...,,14660.1,659.9,L  -1.4%  H  650.0  673.4,L  0.1%  H  650.0  693.0,L  7.2%  H  600.5  693.9,L  30.9%  H  500.1  693.9,L  25.1%  H  436  710,L  395.6%  H  124.1  749,L  187.0%  H  95.2  749,L  1225%  H  21.9  749
136,Century Textiles & Industr...,,10624.5,951.2,L  6.1%  H  896.5  955.9,L  3.7%  H  884.2  955.9,L  19.5%  H  780.9  955.9,L  42.6%  H  650.1  955.9,L  19.1%  H  588  955.9,L  214.7%  H  290.3  1024,L  6.5%  H  218.6  1063,L  280.7%  H  194.1  1471.2
137,Cera Sanitaryware Ltd.,,9143.5,7030.3,L  -1.9%  H  7008.1  7219.9,L  -7.4%  H  6984  7694,L  -11.7%  H  6984  8115.8,L  8.2%  H  6030  8196,L  71.6%  H  3990.0  8196,L  218.0%  H  2121  8196,L  151.4%  H  1986  8196,L  1295.6%  H  420  8196
138,CESC Ltd.,,10001.4,75.5,L  0.5%  H  75.3  76.1,L  0.5%  H  74.3  76.1,L  5.2%  H  70.8  76.7,L  10.6%  H  67.4  76.7,L  1%  H  62.1  86.7,L  19.6%  H  53.9  102.5,L  -16.7%  H  36.5  103.9,L  112.2%  H  27.2  119
139,Capri Global Capital Ltd.,,16076.7,780.2,L  -1.6%  H  777.7  811,L  -0.2%  H  752.3  811,L  5.9%  H  725  876,L  27.9%  H  597.4  876,L  12.5%  H  566  876,L  360.7%  H  145.8  876,L  921.2%  H  73.4  876,L  2338.9%  H  18.6  876
140,Chambal Fertilisers & Chem...,,11083.6,266.3,L  0.4%  H  263.6  268.0,L  -2.9%  H  263.6  275.7,L  -4.5%  H  263.6  280.9,L  -8.0%  H  263.6  312.8,L  -11.0%  H  248.4  366.8,L  75.9%  H  133.3  516,L  82.8%  H  93.8  516,L  610.1%  H  30.9  516
141,SRF Ltd.,,64842.9,2187.5,L  0.7%  H  2178.1  2206.8,L  -1.6%  H  2154.6  2230.8,L  -6.9%  H  2154.6  2418.7,L  -10.3%  H  2154.6  2636,L  -1.0%  H  2082.1  2865,L  187.5%  H  744.4  2865,L  562.7%  H  306.0  2865,L  7479.7%  H  25.2  2865
142,Chemplast Sanmar Ltd.,,6994.0,442.4,L  1.7%  H  432  452.4,L  -0.5%  H  425.4  452.4,L  -5.2%  H  425.4  471.0,L  8.1%  H  401.8  501,L  -4.6%  H  342.1  501,L  ;  H  342.1  826,L  ;  H  342.1  826,L  ;  H  342.1  826
143,Aptus Value Housing Financ...,,14214.9,285.4,L  8.7%  H  264.0  289,L  14.2%  H  248.5  289,L  4.5%  H  239.7  289,L  13.4%  H  238.5  289,L  1.7%  H  234.1  368,L  ;  H  220.1  394.9,L  ;  H  220.1  394.9,L  ;  H  220.1  394.9
144,Cholamandalam Investment &...,,95735.2,1164.4,L  1.2%  H  1152.8  1175,L  -1.1%  H  1121.4  1193.2,L  5.9%  H  1068.1  1214.6,L  41.8%  H  819.3  1214.6,L  88.9%  H  616  1214.6,L  485.1%  H  197.5  1214.6,L  269.1%  H  117.4  1214.6,L  2275.7%  H  40.4  1214.6
145,Nuvoco Vistas Corporation ...,,13005.8,364.2,L  2.6%  H  354.1  368.8,L  3.2%  H  346  368.8,L  1.9%  H  340.2  368.8,L  10.2%  H  322.1  368.8,L  28.2%  H  284  475,L  ;  H  260.3  577.9,L  ;  H  260.3  577.9,L  ;  H  260.3  577.9
146,Medplus Health Services Ltd.,,10383.2,870.3,L  4.6%  H  828.8  889.9,L  6.1%  H  805.0  889.9,L  12.8%  H  760.1  889.9,L  21.6%  H  673.5  889.9,L  15.9%  H  548.3  889.9,L  ;  H  548.3  1343,L  ;  H  548.3  1343,L  ;  H  548.3  1343
147,Clean Science & Technology...,,13915.8,1309.8,L  0.9%  H  1299.6  1322.6,L  -3.7%  H  1295  1370,L  -4.3%  H  1295  1418.0,L  -10.4%  H  1295  1574.4,L  -16.6%  H  1227.1  1980,L  ;  H  1227.1  2705,L  ;  H  1227.1  2705,L  ;  H  1227.1  2705
148,Shriram Finance Ltd.,,66901.3,1783.9,L  -0.3%  H  1772.7  1811.4,L  3.8%  H  1703.9  1829.2,L  26.7%  H  1390.1  1829.2,L  37.6%  H  1295.9  1829.2,L  37.8%  H  1146  1829.2,L  164.3%  H  555.6  1829.2,L  42.3%  H  440  1829.2,L  161.3%  H  440  1829.2
149,Vedanta Ltd.,,105884.4,284.9,L  2.5%  H  278.8  286.4,L  1.5%  H  275  286.4,L  1.4%  H  274.3  286.4,L  3.3%  H  268.5  301.0,L  25.0%  H  224.8  340.8,L  161.6%  H  91.2  440.8,L  35.4%  H  60.2  440.8,L  87.3%  H  58.2  440.8
150,Cipla Ltd.,,83218.3,1030.9,L  1%  H  1019.4  1034.8,L  1%  H  1013  1036,L  5.3%  H  980.6  1036,L  12.6%  H  896.3  1036,L  8.4%  H  852  1185.3,L  63.0%  H  633.1  1185.3,L  64.5%  H  355.3  1185.3,L  154.3%  H  355.3  1185.3
151,Coal India Ltd.,,142389.8,231.1,L  0.5%  H  229.8  232.1,L  -1.3%  H  229  237.3,L  0.9%  H  223.3  237.3,L  2.5%  H  223.3  247.9,L  20.3%  H  189.4  263.4,L  80.2%  H  109.6  263.4,L  -13.7%  H  109.6  299.8,L  -23.0%  H  109.6  447.1
152,Colgate-Palmolive (India) ...,,49954.2,1836.7,L  1.6%  H  1806.4  1840,L  3.9%  H  1752.3  1840,L  11.5%  H  1625  1840,L  18.5%  H  1520.1  1840,L  17.3%  H  1434.6  1840,L  28.4%  H  1322.2  1840,L  58.3%  H  1018.3  1840,L  160.5%  H  595  1840
153,Sterlite Technologies Ltd.,,5896.4,147.9,L  0.1%  H  147.2  149.9,L  -0.6%  H  147.1  154.0,L  -2.3%  H  145.8  155.9,L  -8.3%  H  145.8  175.7,L  3.5%  H  128.6  193,L  9.9%  H  115.5  318,L  -50.6%  H  58.7  399.9,L  544.4%  H  15.8  415
154,Container Corporation of I...,,41968.2,688.8,L  1.5%  H  677.3  690,L  2.7%  H  659  690,L  4%  H  629.2  692.6,L  13.9%  H  598  692.6,L  2.2%  H  555  828.8,L  62.7%  H  351  828.8,L  35.0%  H  263.4  828.8,L  185.7%  H  203.0  828.8
155,Chalet Hotels Ltd.,,9273.3,452.3,L  -0.9%  H  446.9  457.5,L  0.5%  H  442.2  463,L  5.1%  H  401.6  463,L  25.2%  H  358.4  463,L  42.0%  H  304.0  463,L  241.6%  H  122.7  463,L  ;  H  99.6  463,L  ;  H  99.6  463
156,Home First Finance Company...,,7080.8,803.7,L  0.9%  H  796.4  813.6,L  2.6%  H  775.1  813.6,L  -0.4%  H  743.4  848.2,L  12.2%  H  686  848.2,L  6.2%  H  652  1004.6,L  ;  H  440  1004.6,L  ;  H  440  1004.6,L  ;  H  440  1004.6
157,Coromandel International Ltd.,,27760.6,944.1,L  1.0%  H  921.3  947.9,L  -1.8%  H  921.3  968.1,L  -0.2%  H  913.6  980,L  1.8%  H  908.1  1004.3,L  -2.6%  H  838  1094,L  22.9%  H  682  1094,L  137.1%  H  336.6  1094,L  427.6%  H  145.5  1094
158,Sundaram Finance Ltd.,,28881.5,2599.5,L  1.3%  H  2550.3  2605.2,L  -1.7%  H  2550.1  2675,L  1.5%  H  2540.1  2675,L  11.5%  H  2275  2675,L  43.9%  H  1787.6  2675,L  114.6%  H  1213.9  2868,L  67.6%  H  982.1  2868,L  374.6%  H  462.2  2868
159,Sundram Fasteners Ltd.,,26100.0,1242.1,L  1.2%  H  1227.1  1258.9,L  -1%  H  1216.1  1266.3,L  7.6%  H  1149.2  1266.3,L  24.8%  H  990.1  1266.3,L  58.0%  H  775  1266.3,L  223.7%  H  382.1  1266.3,L  91.4%  H  248.5  1266.3,L  3500.3%  H  30.3  1266.3
160,Crisil Ltd.,,28033.4,3835.2,L  -0.7%  H  3821.6  3910.8,L  0.3%  H  3772  3911,L  -2.8%  H  3705.7  3985.0,L  9.6%  H  3241.1  4027.6,L  16.0%  H  2725  4027.6,L  122.2%  H  1564  4027.6,L  116.9%  H  1052.7  4027.6,L  226.4%  H  906.4  4027.6
161,CG Power and Industrial So...,,62425.6,408.8,L  1.2%  H  397.1  410,L  5.8%  H  379.9  410,L  8.1%  H  362.4  410,L  37.2%  H  290  410,L  102.1%  H  199.3  410,L  4737.3%  H  7.8  410,L  612.7%  H  4.8  410,L  357.0%  H  4.8  410
162,Sun Pharmaceutical Industr...,,257436.6,1073.0,L  -0.3%  H  1065  1080,L  3.6%  H  1031.1  1083.8,L  8.7%  H  977.3  1083.8,L  6.9%  H  922.5  1083.8,L  21.9%  H  856.4  1083.8,L  118.0%  H  452.3  1083.8,L  91.7%  H  312  1083.8,L  93.6%  H  312  1200.8
163,City Union Bank Ltd.,,9462.5,127.8,L  1.2%  H  126.6  129.0,L  -2.2%  H  126.1  131.5,L  2.2%  H  119.5  132.5,L  1.4%  H  119.5  146,L  -14.9%  H  119.5  205,L  2.4%  H  109  205,L  -27.4%  H  109  249.4,L  184%  H  31.2  249.4
164,Sunteck Realty Ltd.,,5258.6,359.0,L  7.3%  H  338  362.9,L  7.3%  H  317.1  362.9,L  28.3%  H  271.4  362.9,L  21.0%  H  271.4  362.9,L  -28.7%  H  271.1  539,L  93.6%  H  164.4  589.9,L  -8.3%  H  145  589.9,L  83.7%  H  86  589.9
165,Cummins India Ltd.,,53178.0,1918.4,L  1.4%  H  1892.7  1923,L  0.8%  H  1879.2  1940.0,L  3.4%  H  1807.1  1953.5,L  23.9%  H  1481  1953.5,L  76.0%  H  1085.3  1953.5,L  396.2%  H  373.3  1953.5,L  196.3%  H  280  1953.5,L  321.3%  H  280  1953.5
166,Sun TV Network Ltd.,,19489.5,494.6,L  2.7%  H  476.6  496.8,L  7.0%  H  457  498.4,L  10.6%  H  423  498.4,L  15.3%  H  414  498.4,L  18.4%  H  393.8  568.5,L  26.5%  H  372  612,L  -37.1%  H  259.6  836,L  19.6%  H  255.8  1097.8
167,Rainbow Childrens Medicare...,,11136.3,1097.2,L  3.3%  H  1055.6  1105,L  8.5%  H  1013.4  1105,L  15.9%  H  925  1105,L  44.1%  H  753.6  1105,L  132.1%  H  457.2  1105,L  ;  H  410  1105,L  ;  H  410  1105,L  ;  H  410  1105
168,Campus Activewear Ltd.,,9658.9,316.7,L  0.9%  H  315.1  319.3,L  -0.9%  H  313.1  338.9,L  -1.6%  H  307.5  338.9,L  -6.5%  H  300.5  379.9,L  -14.4%  H  300.5  639.3,L  ;  H  297.1  639.3,L  ;  H  297.1  639.3,L  ;  H  297.1  639.3
169,Cyient Ltd.,,15930.5,1440.7,L  0.9%  H  1415.1  1446.3,L  -2.8%  H  1392.1  1496.1,L  -3.8%  H  1392.1  1555,L  34.7%  H  1057.8  1555,L  87.2%  H  723.8  1555,L  437.0%  H  268  1555,L  106.9%  H  184  1555,L  683.4%  H  166.5  1555
170,Suprajit Engineering Ltd.,,5920.4,427.8,L  1%  H  425.5  435.1,L  -0.3%  H  421.1  440,L  10.1%  H  381.8  440,L  21.6%  H  347.6  440,L  27.2%  H  317.3  440,L  176.4%  H  148.6  474.9,L  65.3%  H  99.3  474.9,L  1086.7%  H  30.4  474.9
171,Dabur India Ltd.,,103929.8,586.5,L  1.5%  H  576.8  588,L  2.5%  H  566  588,L  4.3%  H  556  597.1,L  11.3%  H  503.7  597.1,L  6.8%  H  503.7  610.8,L  22.3%  H  463.0  659.0,L  55.9%  H  357.6  659.0,L  269.9%  H  142.7  659.0
172,Supreme Industries Ltd.,,42538.8,3348.8,L  -0.8%  H  3303.1  3491.2,L  6.2%  H  3145.7  3491.2,L  12.1%  H  2965.1  3491.2,L  27%  H  2502.4  3491.2,L  83.9%  H  1772  3491.2,L  200.1%  H  1103  3491.2,L  183.2%  H  773.3  3491.2,L  870.9%  H  290.2  3491.2
173,Gujarat Fluorochemicals Ltd.,,30363.1,2764.1,L  1.3%  H  2692.6  2770,L  -3.8%  H  2676.2  2899.7,L  -12.5%  H  2676.2  3218.6,L  -10.7%  H  2676.2  3451,L  -12.7%  H  2534.1  4174.0,L  654.9%  H  367.1  4174.0,L  ;  H  217.4  4174.0,L  ;  H  217.4  4174.0
